prod_id,bought_with_id,order_id,date_listed,name,class,category,price,page_views,description
1,,109,10/15/2016,LogicLane Desktop Computer,Desktop Computer,Prebuilt,2608,1771,This is the best Desktop Computer you will find.
2,130,45,04/05/2019,DigitalDreams Charger,Charger,Accessories,83,2610,There is no Charger more priceworthy.
3,33,,03/13/2021,TechTerritory Graphics Card,Graphics Card,Computer Parts,950,9226,This is the best Graphics Card you will find.
4,,124,04/26/2015,CyberCorner Charger,Charger,Accessories,45,6153,This is the Charger for you.
5,,158,09/16/2019,ByteBarn Speakers,Speakers,Accessories,160,7318,This is the Speakers for you.
6,,,10/06/2021,LaptopLads RAM,RAM,Computer Parts,162,7832,There is no RAM more priceworthy.
7,,,03/22/2022,ByteBarn RAM,RAM,Computer Parts,88,7525,This is the best RAM you will find.
8,,175,03/25/2015,TechTerritory RAM,RAM,Computer Parts,148,6887,This is the best RAM you will find.
9,20,65,06/27/2015,TechTerritory Laptop Computer,Laptop Computer,Prebuilt,1503,9264,There is no Laptop Computer more priceworthy.
10,,,10/07/2019,LogicLane Laptop Computer,Laptop Computer,Prebuilt,1733,2000,This is the best Laptop Computer you will find.
11,35,,08/05/2018,DigitalDreams Desktop Computer,Desktop Computer,Prebuilt,1163,7353,This is the best Desktop Computer you will find.
12,,159,08/20/2016,DesktopDen Monitor,Monitor,Accessories,695,8566,This is the Monitor for you.
13,166,,08/16/2018,DesktopDen CPU,CPU,Computer Parts,362,7601,There is no CPU more priceworthy.
14,,3,12/01/2015,LaptopLads RAM,RAM,Computer Parts,113,4612,This is the best RAM you will find.
15,60,,08/16/2016,CircuitCity Charger,Charger,Accessories,33,4240,This is the best Charger you will find.
16,,29,05/21/2015,LaptopLads Charger,Charger,Accessories,51,650,This is the best Charger you will find.
17,115,,05/05/2018,CircuitCity Speakers,Speakers,Accessories,134,8706,There is no Speakers more priceworthy.
18,144,139,12/21/2019,DesktopDen CPU,CPU,Computer Parts,477,1817,This is the CPU for you.
19,199,,04/09/2016,DesktopDen Charger,Charger,Accessories,40,3986,Alan Turing would buy this Charger.
20,,180,02/16/2022,TechTerritory Monitor,Monitor,Accessories,212,2109,This is the Monitor for you.
21,63,184,10/09/2015,DesktopDen RAM,RAM,Computer Parts,69,2371,Alan Turing would buy this RAM.
22,,33,03/17/2017,LogicLane CPU,CPU,Computer Parts,991,2259,Alan Turing would buy this CPU.
23,140,191,08/03/2021,CircuitCity Monitor,Monitor,Accessories,131,9696,This is the best Monitor you will find.
24,31,200,05/13/2021,CyberCorner CPU,CPU,Computer Parts,516,3990,Alan Turing would buy this CPU.
25,100,50,05/26/2016,ByteBarn CPU,CPU,Computer Parts,660,5527,This is the CPU for you.
26,,,09/08/2022,TechTerritory Laptop Computer,Laptop Computer,Prebuilt,701,4156,This is the Laptop Computer for you.
27,197,41,05/06/2019,DesktopDen Desktop Computer,Desktop Computer,Prebuilt,2389,7515,There is no Desktop Computer more priceworthy.
28,164,,11/19/2017,LaptopLads Graphics Card,Graphics Card,Computer Parts,1459,6186,There is no Graphics Card more priceworthy.
29,,48,08/30/2019,DigitalDreams Desktop Computer,Desktop Computer,Prebuilt,2230,7920,This is the best Desktop Computer you will find.
30,39,88,05/24/2018,TechTerritory RAM,RAM,Computer Parts,139,3143,This is the best RAM you will find.
31,,,09/13/2015,LaptopLads Laptop Computer,Laptop Computer,Prebuilt,1437,3293,This is the best Laptop Computer you will find.
32,,75,12/19/2017,DigitalDreams Speakers,Speakers,Accessories,228,9641,This is the best Speakers you will find.
33,,109,08/16/2015,TechTerritory RAM,RAM,Computer Parts,87,3224,Alan Turing would buy this RAM.
34,151,120,09/13/2017,CyberCorner Laptop Computer,Laptop Computer,Prebuilt,1247,6924,Alan Turing would buy this Laptop Computer.
35,,,08/18/2018,CyberCorner CPU,CPU,Computer Parts,994,6587,This is the CPU for you.
36,18,112,11/29/2021,ByteBarn RAM,RAM,Computer Parts,107,3530,Alan Turing would buy this RAM.
37,,,02/23/2019,TechTerritory RAM,RAM,Computer Parts,125,7451,This is the best RAM you will find.
38,146,91,07/10/2019,DigitalDreams Charger,Charger,Accessories,96,2786,This is the Charger for you.
39,103,158,09/19/2022,DigitalDreams Laptop Computer,Laptop Computer,Prebuilt,959,435,Alan Turing would buy this Laptop Computer.
40,131,15,11/30/2016,CyberCorner Graphics Card,Graphics Card,Computer Parts,294,2554,This is the Graphics Card for you.
41,,189,02/20/2017,ByteBarn Desktop Computer,Desktop Computer,Prebuilt,925,9187,There is no Desktop Computer more priceworthy.
42,,48,05/16/2019,LogicLane Charger,Charger,Accessories,76,4569,This is the Charger for you.
43,,6,08/16/2016,LogicLane Desktop Computer,Desktop Computer,Prebuilt,2766,9476,Alan Turing would buy this Desktop Computer.
44,,,03/04/2022,CircuitCity Graphics Card,Graphics Card,Computer Parts,947,6224,This is the Graphics Card for you.
45,,178,05/29/2022,LaptopLads CPU,CPU,Computer Parts,758,6067,This is the best CPU you will find.
46,32,,08/18/2015,DigitalDreams Speakers,Speakers,Accessories,246,8815,Alan Turing would buy this Speakers.
47,,91,05/02/2015,CircuitCity Laptop Computer,Laptop Computer,Prebuilt,1560,157,There is no Laptop Computer more priceworthy.
48,86,161,09/29/2020,ByteBarn Laptop Computer,Laptop Computer,Prebuilt,1791,1366,This is the Laptop Computer for you.
49,,147,09/26/2016,DesktopDen Monitor,Monitor,Accessories,273,2810,There is no Monitor more priceworthy.
50,,55,08/22/2015,ByteBarn CPU,CPU,Computer Parts,237,7733,There is no CPU more priceworthy.
51,,196,08/29/2015,TechTerritory Speakers,Speakers,Accessories,98,2895,This is the Speakers for you.
52,,97,12/11/2022,CircuitCity Monitor,Monitor,Accessories,527,8807,This is the Monitor for you.
53,,,01/30/2016,TechTerritory Desktop Computer,Desktop Computer,Prebuilt,1007,868,This is the best Desktop Computer you will find.
54,84,,10/31/2021,CircuitCity Monitor,Monitor,Accessories,868,9867,Alan Turing would buy this Monitor.
55,,138,03/14/2017,CircuitCity Graphics Card,Graphics Card,Computer Parts,702,9624,There is no Graphics Card more priceworthy.
56,137,155,06/17/2016,CyberCorner Charger,Charger,Accessories,54,8034,Alan Turing would buy this Charger.
57,,102,06/04/2020,CircuitCity Desktop Computer,Desktop Computer,Prebuilt,653,8850,Alan Turing would buy this Desktop Computer.
58,,157,09/30/2016,CyberCorner Speakers,Speakers,Accessories,102,6927,Alan Turing would buy this Speakers.
59,145,152,05/25/2016,TechTerritory CPU,CPU,Computer Parts,332,3012,This is the CPU for you.
60,,44,06/27/2015,DigitalDreams Desktop Computer,Desktop Computer,Prebuilt,1582,1428,This is the best Desktop Computer you will find.
61,80,,03/15/2022,CircuitCity Monitor,Monitor,Accessories,918,2616,There is no Monitor more priceworthy.
62,,124,04/26/2015,ByteBarn RAM,RAM,Computer Parts,59,9875,Alan Turing would buy this RAM.
63,,141,06/20/2016,CyberCorner Speakers,Speakers,Accessories,183,3701,This is the best Speakers you will find.
64,85,198,08/26/2015,TechTerritory Laptop Computer,Laptop Computer,Prebuilt,917,7277,There is no Laptop Computer more priceworthy.
65,,,11/12/2020,DesktopDen Desktop Computer,Desktop Computer,Prebuilt,2789,5996,Alan Turing would buy this Desktop Computer.
66,,145,04/25/2019,LogicLane Monitor,Monitor,Accessories,566,9814,This is the best Monitor you will find.
67,164,,05/05/2018,LogicLane CPU,CPU,Computer Parts,742,8552,This is the best CPU you will find.
68,31,24,01/04/2016,LaptopLads Laptop Computer,Laptop Computer,Prebuilt,1884,3726,This is the best Laptop Computer you will find.
69,22,,04/16/2015,CyberCorner RAM,RAM,Computer Parts,50,4544,There is no RAM more priceworthy.
70,,152,05/25/2016,DesktopDen RAM,RAM,Computer Parts,131,7712,This is the RAM for you.
71,,107,12/21/2015,DigitalDreams Laptop Computer,Laptop Computer,Prebuilt,1471,694,This is the Laptop Computer for you.
